id	filename	md5	size	state
3ab80b58-b3f7-4097-9d42-e22670650ad5	TCGA-AR-A5QM-01Z-00-DX1.A9017CED-FF57-4090-95B9-94DC91854347.svs	361e57cec75dcf6c042d4ea207b3d1cc	1047847767	released
639c3cbc-965a-40fc-bd7f-14cc6be7c3ab	TCGA-BH-A0W4-01Z-00-DX1.23E017DC-15CB-4838-AC91-CFB11B932AB0.svs	22b4efdeb4b04cc8bcd109c7c6f02472	1491220569	released
b0d631fb-2763-4f40-863e-50807730859e	TCGA-AO-A126-01Z-00-DX1.D9D6AA15-32F0-44BD-AF30-36191784FFA2.svs	d0df11974b9e0c1fbf6cb4a9cdfdb2ba	550065516	released
87f04aa2-76ff-4116-a995-76b7f9702635	TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3.svs	02ffea7aa964d3895ffd470d8b292dca	53319426	released
8b4d312a-9645-49a8-9d22-ef42a7ed0a97	TCGA-BH-A0E9-01Z-00-DX1.5FC4A5E1-3984-4869-9FFB-C0C7F9EAF5FE.svs	667cc86d9bbc5d1890b0f2ae46c9d3f1	1173561805	released
18499702-93bd-414c-8d7a-73a6a2879a04	TCGA-C8-A12Y-01Z-00-DX1.A15CB3E2-E145-4C75-8FEA-1DD503CD7C20.svs	77a3db28fb09e6bd82cb90b6f3ebb627	896076547	released
c4f250e6-c88f-4721-99f6-c3499072c692	TCGA-C8-A1HN-01Z-00-DX1.7EBBEAB1-EBB7-456F-8848-AFE2263242B7.svs	0cf2f2e76a8b8473b6b96dee4e270332	694961431	released
6c9a3c55-b364-440f-93a2-57b34acc80fc	TCGA-E2-A573-01Z-00-DX1.D6633BC2-524D-4153-952F-6B1D8D067370.svs	5cc8d22743655af81300683ee9090000	1247428613	released
9f905fcb-56da-4459-baa8-553a2cb1d720	TCGA-BH-A0EE-01Z-00-DX1.872EA586-25C8-4835-A138-152DFA1EBF30.svs	fd1c846237fdd28bc374a2f818ea1f66	1692124169	released
4f819f04-6d3f-483e-b00d-707eb0a3f476	TCGA-A7-A6VV-01Z-00-DX1.07AE0E16-A883-4C86-BC74-4E13081175F2.svs	c08d784f6c2eb59b1af40fe61a206c23	354455605	released
11c18ceb-0e68-42ee-a888-72a84e04732a	TCGA-A7-A5ZV-01Z-00-DX1.21F2EA4A-4F31-43D6-A036-E20E326AF37E.svs	a9d1dfbf1d3716f0094aea0db4862a99	630509479	released
09431426-faf5-40e9-9907-70c4c8ee2499	TCGA-A7-A0DA-01Z-00-DX1.5F087009-16E9-4A07-BA24-62340E108B17.svs	09e038f5e6c3e67885a1e781b8b5a035	703721377	released
8e28c81e-9c65-40e7-9d23-7418c96e63f7	TCGA-E2-A106-01Z-00-DX1.A8D49C06-3C93-48A6-87F8-86D646BEA28C.svs	28ae6b7e7490e636c3a458291edcc7ec	770329785	released
2b82505e-2bef-4df6-974f-4dc3b52df32a	TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D.svs	5493ddb2e7e7a49d7e191e7a7130b854	1065926627	released
55b17d55-0620-4627-a8e8-4c9023977b69	TCGA-A8-A07O-01Z-00-DX1.3D657129-F2A7-4BC1-A910-805FBDCE2212.svs	74e7a82a318171c2999c0ceb84c6a618	519848900	released
f2075743-0d5d-44a2-97cd-f186fb26d665	TCGA-E9-A1N8-01Z-00-DX1.1243AB1C-75A3-4A5E-9674-53992E6DD377.svs	8fc9b7c3fe493e9c88814c7a1c0234d5	780016529	released
